QT000001711	Woveel Daag hett en Week?
QT000001712	Un worüm dat?
QT000001713	Worüm studeerst du nich Franzöösch?
QT000001714	De Buurn harrn fiev Ossen un negen Keih un twölv Schaap vör dat Dörp bröcht, de wullen se verköpen.
QT000001715	’Keen hett den gröttsten Bregen, en Elefant oder en Minsch?
QT000001716	Boomkoken is en düütsche Spezialität.
QT000001717	De Klock geiht richtig.
QT000001718	Speel nich mit ’n Slötel.
QT000001719	Ik harr tovör noch nie von Lviv höört.
QT000001720	Hett di dat vonnamiddag gefullen?
QT000001721	Ik weet nich, wo deep de See is.
QT000001722	Ik will den Film ankieken.
QT000001723	Nu höör op to wenen.
QT000001724	Du kannst allens nehmen, wat du wullt.
QT000001725	Ik bün op dat Feld hen un her lopen.
QT000001726	Miene Froo kaakt good.
QT000001727	He tuuster mi wat in ’t Ohr.
QT000001728	Ik bün dor bald wedder.
QT000001729	Mama maakt jüst en Koken.
QT000001730	Ik nehm allens trügg, wat ik seggt heff.
QT000001731	He weer alleen dor.
QT000001732	Kees lett sik licht mit ’t Mest snieden.
QT000001733	Schriev dien Naam in Grootbookstaven.
QT000001734	Wo laat steihst du op?
QT000001735	Woneem hest du Chineesch lehrt?
QT000001736	De Minschen ut Colombia snackt Spaansch.
QT000001737	Eet, wat du wullt.
QT000001738	Dat rode Huus is nee.
QT000001739	He is mien öllern Broder.
QT000001740	Nülich hett dat in de Alpen in ’n September bet na dat Daal dal sneet.
QT000001741	Ik bruuk en Reedschop, üm in mien Goorn Unkruud to weden.
QT000001742	Halvig teihn gifft dat Fröhstück.
QT000001743	As ik trüggkeem, weer mien Auto weg.
QT000001744	Ik heff mien Öllern versproken, se tominnst dreemol in’n Maand to beseuken.
QT000001745	Denken deit weh.
QT000001746	He hett nich veel Geld.
QT000001747	Jane weer antagen as en Mann.
QT000001748	De Reken mutt vondaag betahlt warrn.
QT000001749	Holl de Hand vör ’n Mund, wenn du kröchst, pruuscht oder jappst.
QT000001750	Se hett en gesund Baby kregen.
QT000001751	Ik heff keen Tohuus mehr.
QT000001752	Wi sünd Tweeschen. Ik warr faken mit mien Broder verwesselt.
QT000001753	He hett keen Frünnen.
QT000001754	Wann büst du dat leste mal bi usen Öllern wäsen?
QT000001755	Ik estemeer ehr temlich.
QT000001756	Wannehr is dit Slott boot worrn?
QT000001757	Ik will Ies naeten.
QT000001758	Ik wohn in Maastricht.
QT000001759	Mien Dag is Klock fiev toenn.
QT000001760	Ik gah normalerwies Klock negen na Bedd.
QT000001761	Use Scheff heff en Överkoppbildsmieter köfft.
QT000001762	Dat is mi egaal, wat he tostimmt oder nich.
QT000001763	Ik mag Klocken.
QT000001764	Se keek an ’e Deek.
QT000001765	Ook du, mien Söhn.
QT000001766	Swartsuur mit Klüten un Wuddeln is en fein Eten.
QT000001767	’Keen hett dit Finster tweibraken?
QT000001768	Disse Kinner sünd blied.
QT000001769	Wat schall ik antrecken?
QT000001770	Dat weer so hitt, dat ik bi apen Finster slapen heff.
QT000001771	He hett jüst so veel Böker as sien Vader.
QT000001772	Se hett Ria heten.
QT000001773	Dat is meist richtig.
QT000001774	Ik lehr.
QT000001775	’Keen mellt sik freewillig?
QT000001776	Ik heff jüst mien Huusopgaven trechkregen.
QT000001777	De Zitronen sünd suur.
QT000001778	Wat weetst du över Pandas?
QT000001779	He hett di en Book schickt.
QT000001780	Dat Geld is in ’n Born.
QT000001781	Ik deed geern noch lang in her blieven ook na ’n Orgasmus.
QT000001782	He kann gröön un blau nich uteneenhollen.
QT000001783	Mien Broder leevt in en lütt Dörp.
QT000001784	Uns School hett dree Amerikaners as Uttuuschschölers opnahmen.
QT000001785	Dat is hitt vondaag.
QT000001786	Tom hett en nee Peerd köfft.
QT000001787	Ik wull de Döör tosluten, man ik harr den Slötel verloren.
QT000001788	Ik bün wied weg von ’n Boom.
QT000001789	Du musst di beielen.
QT000001790	’Keen geiht dat üm?
QT000001791	Wi hebbt noch nix ännert.
QT000001792	Se wahnt dicht bi de See, man se kann nich swemmen.
QT000001793	Dat is licht, disse Fraag to antern.
QT000001794	De Arbeid is meist trech.
QT000001795	Ik kann jo nich noog laven.
QT000001796	Yamamoto is een von mien Frünnen.
QT000001797	Ik drink nienich Tee mit Zitroon.
QT000001798	Nu fungen die Menschen an un breden sik ut över de ganze Eer, un se harrn ja ok Döchter. Do segen de Göttersööns de Minschendöchter sik an, un de steken eer in de Ogen; denn dat harrn se wull markt, dat se goot utsegen; se weren smucke Deerns. Und se nemen se sik vun all de, de eer gefallen deen, een to Fru.
QT000001799	Mien Tog föhrt Klock söss in Kyoto loos un kummt Klock negen in Tokyo an.
QT000001800	Geet keen hitt Water in dat Glas. Ans kunn dat springen.
QT000001801	He schaamt sik dor nich för, dat sien Vader arm is.
QT000001802	’Keen von de Jungs in dien Klass singt opbest?
QT000001803	He füng an to wenen.
QT000001804	De Mai is mien leevsten Maand.
QT000001805	Dat Öller hett twee grote Vördelen: de Tähn kellt nich mehr un een höört nich mehr all dat Dummtüüg, dat ümto vertellt warrt.
QT000001806	De Bus keem leddig an.
QT000001807	Ik kenn ehr nich un will ehr ook nich kennenlehren.
QT000001808	Ik gah in ’n Park.
QT000001809	Twee maal dörteihn is sössuntwintig.
QT000001810	Wenn du Fragen hest, warr ik di dor geern op antern.
QT000001811	Ik heff en Splinter in ’n Finger, man ik krieg em nich rut.
QT000001812	Fröher weer allens veel beter.
QT000001813	Kannst du en beten langsamer snacken?
QT000001814	He is von ’e Ledder afglippt un hett sik doodfullen.
QT000001815	Feelt ji wat?
QT000001816	Ut ’n Schosteen kummt Rook.
QT000001817	Se is worraftig en gode Deern.
QT000001818	John is güstern na Frankriek föhrt.
QT000001819	Weetst du wat?
QT000001820	Woans hest du Esperanto lehrt?
QT000001821	Wat höllst du dor von?
QT000001822	Se proovt den Ries.
QT000001823	Miene Öllern sünd dood.
QT000001824	Roop de Polizei!
QT000001825	Ik weet nix över ehr Plaans.
QT000001826	Se hett en smucke Popp.
QT000001827	Du musst op disse Fragen nich antern.
QT000001828	He hett so sien Grillen.
QT000001829	Nüms bruukt klingoonsch pIqaD op Tatoeba.
QT000001830	Woneem is dat Museum?
QT000001831	De Balkan-Bargkeed löppt von West na Oost dör Bulgarien.
QT000001832	Kaak de Supp so lang, bet se dick warrt.
QT000001833	He hett mi nix to eten geven.
QT000001834	Papa, dröff ik rutgahn un spelen?
QT000001835	Bööm wasst nich in ’n Heven.
QT000001836	Ook de swartste Koh gifft witte Melk.
QT000001837	Dat gifft man een Laden op ’t ganze Eiland.
QT000001838	Weetst du woneem ik wahn?
QT000001839	To, laat uns gahn!
QT000001840	Nu kort keen Luft halen!
QT000001841	Ik glööv dat nich mehr.
QT000001842	Ik draag nich geern anner Lüüd ehr Tüüg.
QT000001843	Ik heff jüst en Book leest, as he rinkeem.
QT000001844	Wüllt ji, dat ik jo help?
QT000001845	Ik kann keen Melk verdregen.
QT000001846	En smachtig Hart is leger as en smachtig Darm.
QT000001847	Tom is finanziell unafhängig.
QT000001848	Carol ehr Kleed is lang.
QT000001849	’Keen is dor Schuld an?
QT000001850	Ken will en Fohrrad.
QT000001851	He is alltiet rechttiedig.
QT000001852	Ik heff jüst Falafel eten.
QT000001853	Dat Huus leeg merrn mank Koornfeller.
QT000001854	Ik heff veel to doon.
QT000001855	Rie un ik sünd na de sülve School gahn.
QT000001856	He hett mi anlagen.
QT000001857	De Deern op dat Foto smüüstert.
QT000001858	Dat gifft blot diene Sätz to’n Översetten.
QT000001859	Julia hett veel Rosen un veel Lelen in ehren Goorn.
QT000001860	Diutschland is en grôt Land.
QT000001861	De Boom is ümfullen.
QT000001862	Gah disse Trepp hoog.
QT000001863	Dor töövt de Spinn dor op, dat lütte Insekten so as Botterlickers oder Jumfern in ’e Fall gaht.
QT000001864	Ik heff dissen Sommer twee Kilo tonahmen.
QT000001865	Fraag mi nich worüm.
QT000001866	He seet op de Bank in ’n Park.
QT000001867	De Hai an sik hett doch ook blots Hunger.
QT000001868	He hett man leddig Stroh döscht.
QT000001869	Disse Hoot hett mi teihn Dollar köst.
QT000001870	Ik speel geern Baseball.
QT000001871	Ik lööv, dat Esperanto temlich swoor is.
QT000001872	He hett dree Buddeln Beer drunken.
QT000001873	Dat Weder weer to schöön üm binnen to blieven.
QT000001874	Se weer vör ehren egenen Schadden bang.
QT000001875	Se verlöövt uns nich, in ’e Disko to gahn.
QT000001876	Ik will in en Slott leven.
QT000001877	Wahnst du alleen?
QT000001878	As he sik dat Been bröök, müss he dree Maand lang Krücken bruken.
QT000001879	De Esel deed den Hund pedden, de em beten harr.
QT000001880	De Klock sleiht veer.
QT000001881	Ööl hett de Egenschop, dat dat op Water swemmt.
QT000001882	Hest du düssen Satz sülvst schreven?
QT000001883	Ik weet, dat Tom de Söhn vun en Polizist is.
QT000001884	Se kaakt för em.
QT000001885	Se föhrt na Brüssel.
QT000001886	Alkohol is slecht för de Lebber.
QT000001887	Ik heff Gott dootmaakt.
QT000001888	Ut Angst, se kunn utglippen, güng se sinnig.
QT000001889	Elk Saterdag speelt wi Football.
QT000001890	Deit mi leed, dat ik so groff weer.
QT000001891	Kann ik den Koken eten?
QT000001892	Wi kunnen de Lichten von ’e Stad in ’e Feern sehn.
