en-3ad2685432b4854f183ffd0e29d62777	By the time I was your age, I was already married. 
en-634fc9107574135c5089e635acbe289b	I missed you. 
en-9df8b1621679af1a103c1e3ff7a19eea	Was there a book on the desk? 
en-f5956d74208295bed570120f3de02aed	That is a spoon. 
en-aa41d683e40c6ca7c795d4eea902e947	If I had known about it, I would have told you. 
en-86fb2f5ac363b2e98bd39f7589b1ac81	You can't be sure of anything in this world. 
en-6e03648024466f3012ae760cf2296a45	5 is less than 8. 
en-81758b5b969f7d55ef8690d7c9c99745	And I will raise it again in three days. 
en-a60da8162df2971ed59d84dfb51a13ed	Jack is the most intelligent boy in the class. 
en-f4270a3af10161c8be24345d779f4c77	Tom said he had a craving for chocolate. 
en-7f0422e6894ef1100ccde7a6695e4b2a	The house is red. 
en-2de10aab95c32c8a9176748ae552015f	Close your eyes, please. 
en-59d7f60fff1159bb1b18a6ffa69ddeb9	The girl cried out for help. 
en-5235334f6f8596c5cfb2ded1c215d8dc	Would you mind answering the question? 
en-2ec3e77f2348b9674da4f53ccf7c6a79	Put it where you want. 
en-82e0e20f29f9f78c87d39adda5de91b4	I always listen to podcasts on the train. 
en-14deb2c058f006a909033b975e1030ab	Is German spoken too? 
en-c2d0c2d8549dcac0678df976133381e6	Should I just wing it? 
en-88805c04b352af00df412ee5cc2dcee2	Paris is a romantic city. 
en-7c86f214505800f6a68d3da412378587	Could you please add me on WhatsApp? 
en-9139760c27bccd1cf9786c2e4967d80e	This is the dictionary I told you about yesterday. 
en-b71732f565809d2ce2ddd4d518b138ce	He never texts back. 
en-4f6a391e8b6b2b99cf5a1158315e6777	It is difficult to remain aware while dreaming. 
en-1d42010db055bf8856ff3002020237d1	What other options do I have? 
en-cc94ac7da9dffaa94d648a13f3c84839	Who's Tom living with? 
en-e692ed7ae09f58db6015aeb4f7019c5a	What is his name? 
en-0242aa9f9da6b223206829b3e21bdb7a	I had known him for three years when he became my brother-in-law. 
en-49b7b1e945ec82f1ae69e245c1a82e8a	Smoking may be lethal. 
en-f0e63b51cc17564d2a0b6c9ee9fecafb	The landscapes are simply fantastic. 
en-af7ffc24abd7846ac2682a8947367e6c	I'm sharing my flat with my brother. 
en-08d01568a45d0cf9769866547533c6ba	What will become of his children after his death? 
en-bfe1f87147b5626ac36fd3afb4f1ac78	Tell us some jokes. 
en-e141ceb8cbe855cf79607c327f643c82	It is illegal to copy from books without the author's permission. 
en-5a6dcff9f61b041c77c415bdf7e2c439	This verb requires a direct object. 
