bar-ee24ac3a1c63cc18d34b5238074e1cfa	I bin da Jack.
bar-26723950cca1e90d1c8d8e1cfe4c93a6	I bin da Ludwig.
bar-8c01dd862dac01027b82a0f16f92dd6c	I bin da Henry.
bar-134773427ddf219b6dca622d79c60080	Guadn Dog!
bar-26723950cca1e90d1c8d8e1cfe4c93a6	I bin da Ludwig.
bar-ee24ac3a1c63cc18d34b5238074e1cfa	I bin da Jack.
bar-244e3fc418d7ad6d8415c3063c08aed4	Waun i du wa, tarat i'n frogn.
bar-cba46a8d6acc35864fa88d0f9cf65c57	An deiner Stö tarat i des net.
bar-32f30e33b875445a4451faed0594299c	Ihr miassts ihr höfn, und zwoa gschwind!
bar-43434d949483e0b0b927fa439ca54c7a	Waun i nua wissat, wos i sogn soi!
bar-54bc064fdd8babb35bb07c4fb7ed10cd	I mogs net glenga.
bar-4103a6dc17ab3ff25170181cb7433669	Da Tommi håt sä mitokesn zhås ghobt.
bar-966a496fd5084411da2684e6152247d9	I dengma, da Tommi is so dräsk.
bar-d17528914d0e06a0d15894c26243b504	Woărum fiăxtn da Tommi si so?
bar-ec31348aa93844fa677140b9f961e10d	Da Tommi woă blå wiă a fäxał.
bar-01b7a0c29d528dbaeef2bf936dfeeb5e	Wengam Reng håmas Picknick ohgsogt.
bar-61ddc01f1fe13643d6025029b00caa77	Gö, du host šo an gwoitigng fohgl, net?
bar-41eb25add8c6a6f33408f4111ca81800	Da Tom hod koa Hemmad au.
bar-69539e133ca4bdf12754bf9f622e49ae	I hau's gwisst, dass i's schoff.
bar-b8d70d8cafe279ee14a59e3bd30b92fb	I hob's gwusst, dass i's tuan kau.
bar-1c43aba334a534a87396c0afd0f3dea2	Da Hund is eam überoi hi nochgaunga.
bar-e2bef43d0a3e001a6edd8bc552521584	Kenma hiatzt redn?
bar-523e8d6e670768de25a281e2f1cd06df	Waun er des gwisst hätt, aft warata womögli fria kemma.
bar-5fdd0088cc07d635b2809ee527a0ba89	Des is so a schena Füm.
bar-523e8d6e670768de25a281e2f1cd06df	Waun er des gwisst hätt, aft warata womögli fria kemma.
bar-32f30e33b875445a4451faed0594299c	Ihr miassts ihr höfn, und zwoa gschwind!
bar-064840e8a7bb291d6ca31e8cf45e6d39	Schau m'amoi, wos im Thomas einfoit.
bar-b4c70deab9bd17c64b6b9574cf04d990	Auf geht's. Tamma, wos ma tuan miassn.
bar-40046a87805feb24e49a7e28c8bb36d2	In Thomas hams aus da Schui aussigschmissn.
bar-9003e63259426035bea9adc06320b2bf	Wiaso is'n des net auf Boarisch?
bar-737c5161ce19d9642b45e7bc8fe1c37b	I waaß ned, ob's kumma is oder ned.
bar-b527b453ffaf0e3d077ec414ae52215f	I woaß net, ob's kemma is.
bar-78852a97fae918a3ec712d58dd48f441	Ihr sats nu depperter, ois i ma docht hob.
bar-75bfa3c5b013d4333e221eec894b0a31	I schau ma gern Goifspün au.
bar-75bfa3c5b013d4333e221eec894b0a31	I schau ma gern Goifspün au.
bar-a2c21588e3fdcc97077690e5bcd24c7d	Wos taratst'n tuan, waunst tausend Millionen Dollar hättatst?
bar-3998ce044f90b5610fcaea67b9d48d83	Da Tom is ned so ana.
bar-ef46ac5c34bb6c34bbe1706cfd48cfbf	Des is mei jingara Bruada.
bar-ef46ac5c34bb6c34bbe1706cfd48cfbf	Des is mei jingara Bruada.
bar-8c2d2ef8021bdebfe24093a7bf24252d	Da Thomas hot ma ois gem, wos i hom woit.
bar-f047448ac1ee88d16c4473f58043d7d0	Da Thomas hot ma ois gem, wos i braucht hob.
bar-82f16c0099c3b7c6523ad6ff3f29f5c2	Des is a Hendl.
bar-d931bad6789631aad8769ac38fd7fa63	Setzts eich hi.
bar-19fb910db5ec43c7698483e3feb29f63	Es hod a Zeidl braucht.
bar-15e23b5dd4e0e226aaf863f9aefa9d31	Da Tom hot a schwoarze Kotz ghobt.
bar-8002b9642bbb3dab3b70acb296cb3914	Da Tom spüt gaunz sche guat Schach.
bar-b9fa9af8f0a80c240a6d0521bfdbb54e	Mir tuans mitanaund.
bar-324f3632555c4feb6b4dd19016dd49c6	De Trachtn san ausm historischn Oidogsgwand entstandn.
bar-ec2d4eaaddcf00f0b07ca34f07d63e03	Friara hod ma de Trachtn jedn Tog ozong.
bar-ee1eb14871a74946d324f1be2a3ca7af	Leidln, vawendts wieda meara echt boarische Weata!
bar-8c01dd862dac01027b82a0f16f92dd6c	I bin da Henry.
bar-e080517332cc8780951118b7b308ddac	Oans woaß i gwiss: ohne Dochzügi ist des Doch koa Zügidoch und ohne Turmzwüfi ist da Turm koa Zwüfiturm.
bar-6b2da256c15df481160b6eb737e58e42	Da Mathias und i san mit d'Helene in da Universität.
bar-2996d5ff5e5b3b845ec5eb4b1e3c3b4f	Hau di üba d'Heisa, du Depp du bleda!
bar-090460b3a883a3f06bf963b84cffd209	Mi hot kana gfrogt, drum sog i a nix.
bar-090460b3a883a3f06bf963b84cffd209	Mi hot kana gfrogt, drum sog i a nix.
bar-c1c1898e7c99def4616811989d49adcb	I bi angfressn.
bar-e3b19418b31728ab7ea9193454cfe277	Da Tom hot die Opfibutzen in' Biomükübi ghaut.
bar-a87b7524cf29b311ef3e01056fac4174	Da Thomas geht ma net o.
bar-7a41756ca60a37695676c8fc15f420c6	Da Thomas foahrt mitn Radl aufm Gehsteig.
bar-816fcbc660284eb2a17d30ef3680d998	Wiaso schaust 'n olle damlaung auf d'Uhr?
bar-4ed3807467d7abf00d3dcb9ca35541b0	Burschen, glaubt's jo net, dass uns des Viech ins Haus kimmt.
bar-b717445f7943ae3d03b9f9fd732ee63b	Hamma nix gehört.
bar-1f9ba3eb97a5f8425fb9a140a86db901	Fuffzig oda fuffzehn?
bar-094e27774f3e64c978732da558c789ef	Heit hob i goa ned gnapfitzt.
bar-90a61339d31434ba20f2ffae97f2159c	Da Thomas und seine Freind spün Fangerl.
bar-e7a42ad9e936dacb7d13029f39348239	Red do net so an Stuss zsamm!
