nds-5fa2456c62e6b6ebe84a0f4963acad5b	Laat uns wat versöken!
nds-45425f0197607896bc612e657d4d576c	Ik mutt slapen gahn.
nds-21a6387d31b52ea4ebf62aceef9f561d	Wat is dat?
nds-01728fb70366a8679f97b2d3019827f0	Dat Passwoord is "Muiriel".
nds-1cffb038b420f0b555098e25447e52c7	Ik will bald trügg wesen.
nds-b04afe063bf86d3d65dbf0754c39b861	Dat weer en leeg Kniepen.
nds-ba92f987459dc7847914b81f73bc6e8b	Ik weer in de Bargen.
nds-4a9def2f3be70381359ef09ec6293d57	Ik weer in ’e Bargen.
nds-6f9fff7bec01f2f7ef69fbb207b5cb23	Dat köst 30 Euro.
nds-7e99d3c0929f3addce0832f7abd96789	Ik verdeen 100 Euro an ’n Dag.
nds-4f9867b5dcda5ec410373e7a4ef40606	Männigmaal kann he en snaakschen Jung wesen.
nds-c573084d2b0814a34f9a73453742e585	Ik miss di.
nds-0e53dfa2b987e4c5819d8007f197962b	Du schusst man slapen.
nds-5b5d42c53f92d1c16543e2fb3a91eead	Ik kann so ’n Leven nich leven.
nds-91e21d1c0c22a4832736fca95b1d4f4b	Nee, ik bün dat nich, du büst dat!
nds-8c8750682a50312b468a7d4dae3be135	Dat weer mien Satz!
nds-b189af7d3ab4d52db60f7add049200e0	He peddt mi!!
nds-681cbfdbcec8943cf00ab6e4ec8d4aeb	Denn hebbt wi en Probleem...
nds-f199d97caf33978549ed890cd4f1c1fa	Oh, dor is en Botterlicker!
nds-422e1e27d30af18720555a54354ceb0e	Maak to!
nds-9b9a6a693eabd61e2cd0b8bd27d6ac7d	Wenn ik so wesen kunn...
nds-ae6180c450d08e09d6db625f55439181	Dat hängt von ’n Kuntext af.
nds-30612fc278d82c1f2fbe5fc8a1a52df6	Wenn ik groot bün, will ik en König wesen.
nds-c83995b5786e8fe0cde8844e30b3972d	Ik warr em doodscheten.
nds-0d3ec6de2d96af54dac769540e00eed6	Ik heff mi jümmer fraagt, woans dat is, wenn een Bröder un Süstern hett.
nds-181c372bbd6af14b45a2f32ea033f5f5	Dat liggt dor an, dat du en Deern büst.
nds-eccf43e57ae9b1a0a99fda94a20ef1af	Dat is jümmer so wesen.
nds-04bd893033658ddc838444b5bf56ec05	Worüm fraagst du?
nds-a651736cd10c5a74374d1f393e4609d4	Wo lang büst du bleven?
nds-634c602bf40967b413fc4059042d9274	Dat maakt neeschierig.
nds-281f48cf60085da8857f92467cedd8cd	Ik wüss nich, wo dat her keem.
nds-3f6756ffc8c1922d362d2299d55a81f1	Ik will dat nich.
nds-c61f979699788c83b39e9d661d54f4ed	Se fraagt, wo dat mööglich is.
nds-577a6383628a4f0cf8bded95fa24fc9a	Ik mutt na Bedd gahn.
nds-b7eb1abe57ae992c798f5666d35ebd0a	Ik fraag di vondaag nix mehr.
nds-dc1c328f43dc1e67dcb3a7ac23e091d1	Tokamen Week schall dat villicht Frost geven.
nds-07a53452eb62cbebe3e8b437467ab542	Dat weer nich mien Afsicht.
nds-f6a618174e09ae26564f6d7e73281b85	Ik weet nich, wat du meenst.
nds-387970fb999e12b77e9a6e1567ada994	Dat gifft veel Wöör, de ik nich verstah.
nds-2cecc29e46d171b355b24e655ce51381	Ik harr nich dacht, dat ik maal „Viagra“ in ’e Wikipedia nakieken schull.
nds-9875ce4858a4d094cb9e5b220f8cf74a	Dat schall nüms weten.
nds-51478dc1dee16e1cbd8ae6d725b9d84f	Dat dücht mi intressant!
nds-7e3599d3fc6c09698828dbdaa43e018a	Wat hest du antert?
nds-34ebee5d8dcc58469a9477dfa52a1190	Nee, he is nich mien ne’en Fründ.
nds-1f0222f88bdcf170ebfab715ac1e1ffe	Ik speel Sudoku un stöör di nich mehr.
nds-4a63a45c50cceb8e4a78141e702bfdfb	Ik mag di nich mehr.
nds-075530928a72311168b9405051223d51	Worüm kummst du uns nich besöken?
nds-a554e2d17cda86bbf2faf4be3655a670	Ik weet nich mäer, wat ik doon schall.
nds-34c957ef7f4bb679c3fff6761d9480e6	Ik weet nich mehr, wat ik doon schall.
nds-640e5295a3b640eedc259fb0a6b30d19	Ik wull nich, dat dat passeert.
nds-2eeac273d24f57ebeb3a405ce06fe09b	Ik kann dat ook nich verkloren.
nds-4e10db89896402b3c44a921d7be328db	Dat wiest bloot, dat du keen Roboter büst.
nds-2a0c8039fdf3456c6819ca1c48ebeab6	Wat denkst du, wat ik jüst maakt heff?
nds-5f95bf592fbee7f0695a78b356395134	Butenlanners maakt mi neeschierig.
nds-b28bc9e870ff730d134e4d00b26a6a60	Worüm büst du üm disse Tied noch waak?
nds-a663242a7fe93092a6f6fae0978f7fc0	Du büst nich gau noog.
nds-37eb2168fad55fc092046634b244e29e	Morgen schall he op ’n Maand lannen.
nds-0c1782a2121d67a86150b2e091f8bfd5	Ik snack keen Japaansch.
nds-5147ea78b6f81322605da49038baec32	Keeneen versteiht mi.
nds-52364a65b47fd4220b090b5e3626ebd4	Ik heff lehrt, ahn ehr to leven.
nds-e5e1a9fb1f4bb7dc8ae7795b1830f498	Dat deed to lang duren, di to verkloren, worüm as dat nich gahn deed.
nds-33bfd0fc12aeeae9420553d248fff4f6	Ik bün so dumm... Ik versöök di Saken to verkloren, de ik sülvs nich verstah.
nds-1263c71ab23e7f5e4bacdcb5b6e4a35f	Dat kann nich angahn!
nds-1127e553939b817c84f59e5198820e29	Wullt du wat to drinken?
nds-d1533bea6a7b79d620818c1ae66b4867	Dat fangt nich vör halvig negen an.
nds-3908954ed8362b280294023b3a05fba3	En Japaner deed sowat nich doon.
nds-60eea6fd2f9b40be7b0c4470e22a6634	’N Rogg hebbt se Arme-Lüüd-Koorn nöömt.
nds-ab65b6c320ff4e416ef02d68348a911a	Legg dat Kootenspeel op ’n Ekendisch.
nds-76b21eb1d2d0dbacb6a43448eea7ab9b	Wenn een nich itt, denn blifft een dood.
nds-33bd2800ecfcdfd727b50f63c1150676	Woans warrt "pretty" schreven?
nds-0105ffcac1a5e90667bb8bf62d67f689	Worüm gaht wi nich nahuus?
