POS000001	Kannst du die Entfernung von der Erde zum Mond berechnen?
POS000002	Das weiß ich nicht, ich habe es noch nicht probiert.
POS000003	Der Champion in der Fliegengewichtsklasse kämpft gegen einen ernstzunehmenden Herausforderer.
POS000004	Man will immer das haben, was man nicht bekommen kann.
POS000005	Ich höre gerne Musik, aber noch lieber mache ich welche.
POS000006	Ich kann dir gar nicht genug danken für deine Hilfe.
POS000007	Gott zum Gruße, Herr General, wir wollen am Himmelfahrtskommando teilnehmen!
POS000008	Tom wurde am Anfang der letzten Woche sein Wagen gestohlen.
POS000009	Was sich zu tun lohnt, lohnt sich, gut zu tun.
POS000010	Das ist genau das, was Tom und ich gesucht haben.
POS000011	So verlockend dein Angebot auch ist, ich muss es ablehnen.
POS000012	Viele Leute ließ man durch die Mühlen der Justiz verschwinden.
POS000013	Ich habe dir alles gesagt, was ich über Deutschland weiß.
POS000014	Als die Ehefrau in den Hof kam, war alles bereit.
POS000015	Nicht jeder Deutsche trinkt gern Bier, nicht einmal jeder Bayer.
POS000016	Er opferte sein eigenes Leben, um das Mädchen zu retten.
POS000017	Tom und Maria sind populärer als Bill und Hillary Clinton.
POS000018	Seitdem sie am Morgen aufgestanden ist, fühlt sie sich schwindlig.
POS000019	Tom ist mit seinen vierundachtzig Jahren schon ein alter Mann.
POS000020	Er ist erst vor recht kurzer Zeit nach Coventry gezogen.
POS000021	Vergiss nicht deinen Anteil an den Ursachen deines jetzigen Unglücks!
POS000022	Tom tut so, als ob er mich nicht sehen würde.
POS000023	Sagen Sie bitte Tom nichts davon, was wir getan haben!
POS000024	Ich kenne jemanden, der sich für dein Projekt interessieren könnte.
POS000025	Ohne Liebe zu sich selbst ist auch die Nächstenliebe unmöglich.
POS000026	Woher kommt es, dass mich niemand versteht und jeder mag?
POS000027	Wenn Sie nicht vorsichtig sind, machen Sie wieder einen Fehler.
POS000028	Tom wollte gerne wissen, wie viel Gepäck Maria mitzunehmen gedachte.
POS000029	Nicht so wie die in dem Bus, den er lenkte.
POS000030	Das war eine gerechte Strafe für ein recht mäßiges Bemühen.
POS000031	Ich hoffe, dass Tom nichts macht, was er nicht soll.
POS000032	Er hat mich nicht gefragt, ob er das machen darf.
POS000033	Glück gleicht durch Höhe aus, was ihm an Länge fehlt.
POS000034	Ich kann mir nicht vorstellen, dass niemand das gehört hat.
POS000035	Deswegen kann es sich so dumm benehmen, wie es will.
POS000036	Ich gäbe mehr, aber das ist alles, was ich habe.
