QT000000000	D Frau isch jung.
QT000000001	Spielschdädde
QT000000002	Am Silvesterabig lönd d'Chinder vom Dorf Schiffli us Nussschale und Rindeholz uf de Brunne vo de alte Scuoler Quartier faare.
QT000000003	Heit ischs amôl Zeid, oifach „Danke“ zom sagå.
QT000000004	I hoff, dass du endlich äbbes gfondå håsch.
QT000000005	Ned bloß en dr Wirdschaffd send Aufbliä ond Aufblää zwoierlai.
QT000000006	Oberstbrigadier, Oberstdivisionär und Oberstkorpskommandant sind Dienstgrad, wo hüt nümme vergäh wärded.
QT000000007	Tom hôt sich vrschluggd.
QT000000008	I beddl diå ned om Vrgäbong.
QT000000009	Tom isch en ärztlichr Behandlong.
QT000000010	De Vail het alkoholisiert zue Gwalttätigkeite gneigt, und d Peggy Guggenheim het sich in de britische Schriftsteller John Holms (* 1897) verliebt, wo, alkoholchrank, scho im Jahr 1934 gstorben isch.[3]
