QT000000000	In a neichstn Studie hoaßt's, Manna wean si mehr dagegen, in da Öffentliat a Gsichtsmaskn aufz'setzn.
QT000000001	Dann hob i mi wahrscheinlich vertippt.
QT000000002	Da Tom is roat wor'n.
QT000000003	Er liegt mit oana Erkältung flach.
QT000000004	Da Tom is narrisch auf seine Kinder.
QT000000005	A wenn Deutsch ned sei Muadasproch war, hot da Tom's vastandn und gredt.
QT000000006	Mi g'foit mei Nama.
QT000000007	A oanziger Schachzug langt ned, um de Fähigkeiten vom Spieler zu zoang.
QT000000008	Er hilft ihr oiwei.
QT000000009	Oida, des war ja Profi-Arbeit!
QT000000010	I schau fast jed'n Dog Fernseh.
QT000000011	Sie is aufgstang und is zum Fenster ganga.
QT000000012	I schau ma oiwei Dokumentationen o.
QT000000013	Da Tom und seine Spezln hockn um's Feuer rum und red'n über d'guade oide Zeit.
QT000000014	Kannscht ma den Reißverschluss zua macha?
QT000000015	Da Tom heult oiwei.
QT000000016	Da Tom schaut echt glücklich aus.
QT000000017	Es gibt nix, wos ma jetz macha kinnan.
QT000000018	Seids eich im Klaren, wia ernst des Problem is.
QT000000019	Schenk ei!
QT000000020	Des ka ma ned aushoitn.
QT000000021	Es san über 1000 Fanganlag'n zum Lebendfang vo de Hornissn aufgstellt wordn.
QT000000022	I kimm nia z'spät.
QT000000023	Da Tom schafft scho a Zeitlang ois Dolmetscher.
QT000000024	Geh in Fried!
QT000000025	Hot da Tom an Rucksack?
QT000000026	Wos?
QT000000027	I bleib no a paar Wochen do.
QT000000028	I hob endlich mei Dissertation fertig g'macht.
QT000000029	Mir werdn'n Tom nia findn.
QT000000030	Da Tom hod sei Fenster aufgmacht.
QT000000031	Da Tom werd imma do sei.
QT000000032	I glab, dass da Tom draußen auf da Veranda is.
QT000000033	Da Tom und d'Maria woin helfa.
QT000000034	Sie hod ma Geld gem.
QT000000035	Da Tom badt si jed'n Dog vor'm Obndessn.
QT000000036	Da Tom denkt jetz drüber nach.
QT000000037	Er is a recht gscheider Student.
QT000000038	I war bei am Freind.
QT000000039	I hob ned vui gredt.
QT000000040	'S hod wegen dem Geld g'heirat.
QT000000041	Da Tom trinkt Apfelsaft.
QT000000042	I muaß aufs Klo.
QT000000043	I bin oiwei arm gwen.
QT000000044	Mia solln jetz ned davo redn!
QT000000045	Bitte, bitte, Herr Wachtmoasta, i ko ned atmen!
QT000000046	Könn ma uns ned erst amoi drum kümmern?
QT000000047	Erinnerst di di nu an unsa Hochzeit?
QT000000048	I bitt di, Tom, mach's ned!
QT000000049	Wos fia Filme laffa denn grad?
QT000000050	Da Tom lebt im Do und Jetzt; er packt oan Tog nochm andern; in d'Zukunft schaut er ned.
QT000000051	Wer is dei Mitbewohnerin?
QT000000052	Sei Arbeit hod eam fad gmacht.
QT000000053	Da Tom is in da Sendung oft z' Gast.
QT000000054	Er mog net drüber redn.
QT000000055	I håff gscheid, dass'd recht host.
QT000000056	Loss ma wos Lustigs macha!
QT000000057	Da Tom is koana Programmierer.
QT000000058	Du mogst Filme, gell?
QT000000059	Muscheln san scho als Währung hernumganga.
QT000000060	Er is bei der Explosion umkemma.
QT000000061	Mir ham koana verärgern woin.
QT000000062	Da Tom hod Fanpost kriagt.
QT000000063	Für d’ Müllers is es a Ehrensach, dass bloß am selben Dog selbst g’ernter Rhabarber auf’n Wochenmarkt kimmt.
QT000000064	Mir woin, dass da Tom bei uns singt.
QT000000065	Ois war umsonst.
QT000000066	San no Eier für di übrig?
QT000000067	I wui a japanisches Auto kafn.
QT000000068	Er schafft z' vui.
QT000000069	Auf da Feier warn vui feschne Madln dabei.
QT000000070	Weis's o!
QT000000071	Da Tom kapiert des echt ned.
QT000000072	Du wirst für mi oiwei wos Bsunders sei.
QT000000073	Singapur is a Landl, des kloaer ois New York is.
QT000000074	Da Tom glaubt, dass d' Maria in eam valiabt is.
QT000000075	I denk echt ned, dass da Tom des gmacht hod.
QT000000076	I brauch an Sekretär.
QT000000077	Eich seids olle bereit.
QT000000078	Du kannst dei Lebn ned verlängern und a ned verbreitern.
QT000000079	Er kauft gern Notizblöcka.
QT000000080	Sein Voda is a Schwindla.
QT000000081	I hob se nia wirklich mogt.
QT000000082	I arbeit do scho seit meiner Abschluß vo da Uni.
QT000000083	A a des „guad sei“ muaß ma späda verantworta.
QT000000084	Entschuldigung, san S' von do?
QT000000085	Da Tom is ned auf am Bauernhof aufgwoxn.
QT000000086	Grod gratulier i und wünsch da ois Guade!
QT000000087	Er hod's eam verzählt.
QT000000088	Da Tom gibt da Maria oiwei für ois de Schuld.
QT000000089	Ja, fahr ma!
QT000000090	Da Tom hod bei da Arbeit oiwei a Krawattn o.
QT000000091	Des is koa Problem ned.
QT000000092	Er hat seine CDs nach Künstler gsortiert.
QT000000093	Was is wirklich do draußen bassiert?
QT000000094	Etz san mia in Boston.
QT000000095	Lass des Schimpfen über de andern!
QT000000096	I hob da doch gsogt, dassd nia wieder doher kemma sollst.
QT000000097	Da Tom werd's nia rechtzeitig packa.
QT000000098	Er schaut auf'n See raus, der von dichten Tannenwald umringt is, und über den der Wind unter'm grauen Himmel die Wellen treibt.
QT000000099	Er hot se d’Haar gwoschn.
QT000000100	Bist du fit?
QT000000101	I pocka ned.
QT000000102	Des is mei Handy.
QT000000103	Da Tom is koa Architekt ned.
QT000000104	Ihre Antwort hat'n überrascht.
QT000000105	Gib ma amoi mei Handtuch.
QT000000106	I mog des Weda.
QT000000107	I hob überall gsucht und hob nix gfundn.
QT000000108	I wui koane oanzige Banane.
QT000000109	Er hod vui Bilder.
QT000000110	Hör auf damit!
QT000000111	Sie hod jed's Recht g'habt, si z'beschwern.
QT000000112	I wui, dass Sie si amüsiern.
QT000000113	Bist jetzt dahoam?
QT000000114	„Es steht aba koana sei Nama drauf!“
QT000000115	Weil am Hof gibt's a im Renta-Alter oiwei vui z' doa.
QT000000116	„Warum helft's uns, gegen euren eigenen Vater vorzugehen?“ – „Weil er a Deifi is.“
QT000000117	„Er is a Ninja.“ – „Wer?“ – „Da Tom, na freili!“
QT000000118	Im Allgmeinen san d'Sau fett.
QT000000119	Er liabt Boston.
QT000000120	Vui Johr lang hod da Pluto ois neinte Planet im Sonnensystem g'langt.
QT000000121	De san in Thailand auf d'Welt kemma.
QT000000122	Es is wichtig, dass ma si vorher gscheid vorbereitet.
QT000000123	Könntest des bitte no amoi sogn?
QT000000124	I hob Heuschnupfa und Kopweh.
QT000000125	Er hod gsagt, dass er Durscht hod.
QT000000126	I muaß schaffa, oba i dua's ned.
QT000000127	I hob ma de gleiche Kamera kauft wia du.
QT000000128	Des is a Gsetzbrüch.
QT000000129	Er hod sei Abfahrt auf Sonntag verschobn.
QT000000130	Wia i ins Dorf eini ganga bin, is a Hund an mir vorbeigloffa, der a abgrissne Hand im Maul ghabt hod.
QT000000131	Da Ehrgeiz is des, wos d'Träume wahr werdn lässt.
QT000000132	I woaß nia, wos i sogn soi.
QT000000133	Kinder glaub'n oft an Märchen.
QT000000134	Da Tom hod oiwei nach dem Motto g'lebt: „noch oben buckeln, noch unten tretn“.
QT000000135	„Bist umadog?“ — „Na, na!“
QT000000136	Du erntst, wosd gsät hast.
QT000000137	Des ganze Geld ko ned einfach so in Luft aufg'loßt ham!
QT000000138	Waren S' in da Arbeit?
QT000000139	Du host ma amoi s'Lem g'rett, und zum Dank vawöhn i dei's, oba des is ois, wos i macha ko.
QT000000140	Des is a Problem!
QT000000141	Da Tom hod ma des nia gsogt.
QT000000142	I dad's gern song, aba's is leider ned d'Wahrheit.
QT000000143	I kimm da gar ned widersprech’n!
QT000000144	Du bist a Sängerin.
QT000000145	Du willst ma weiß macha, dass'd mi gern g'habt hättst.
QT000000146	Wer is da Mo, der mit dir gredt hod?
QT000000147	Seit Jahren ruht a auf'm Friedhof.
QT000000148	Da Tom sogt, dass d'Maria des g'macht hod.
QT000000149	I trink am Wochenende gern a Wein.
QT000000150	I schreib Ihna a Briaf.
QT000000151	Da Tom hätt' eigentlich g'scheiter sei soll'n, als dass er sich mit da Maria auf an Streit einlässt.
QT000000152	I hob nia ja gsagt.
QT000000153	Mir red'n drüber.
QT000000154	De san doch olle blau.“ – „Dann miass ma's hoid olle durchschaun!“
QT000000155	Am liabsten reiß i meim Nachbarn den Laubblaaser aus da Hand und blast eam selba damit weg.
QT000000156	Neie Freindschoftn gwinna is manchmal ned leicht.
QT000000157	Da Tom hod Mordversuche von a paar vo de g'fährlichst'n Leit auf da Welt überlebt, unter anderm vom Josef Stalin.
QT000000158	Hat da Tom irgndwelche Narn?
QT000000159	D'Anne hod auf amoi g'spürt, dass sie, aa wenn's no ned ganz d'Zuneigung vom Anthony g'wonner hod, doch irgendwie sei Anerkennung g'kriegt hod.
QT000000160	Da Papa hod ja gsagt.
QT000000161	Erst wenn's in zwoa, drei Dog den Bericht aus'm Krankenhaus ham, kinnan de Polizisten mit'm Fall weidamacha.
QT000000162	Sie hod ma g'sogt, dass sie Russland scho amoi b'sucht g'habt hod.
QT000000163	D'Erfindung vom Farbfilm war da Untergang vom Schwarzweißfilm.
QT000000164	Da Hund spuit mit da Katz.
QT000000165	Freili kimm i wieda.
QT000000166	Viellecht mog sie ned do sei, damit's mi ned stört.
QT000000167	Hobts es scho amoi im Schrank nachgschaut?
QT000000168	D'Insel Kreta is a g'liebts Urlaubsziagl.
QT000000169	Wann seng ma uns des nächste Moi?
QT000000170	Mei Frau derf nix davoa erfahrn.
QT000000171	In Tatoeba g'heat si a Satz erst dann richtig dahoam, wann a von seina Schwestern und Kusinen, de Übersetzungen, begleit werd.
QT000000172	Er hod's umgschriebn.
QT000000173	Da Tom und i san scho seit ewiger Zeit Freind.
QT000000174	Mir san z'dritt gwen.
QT000000175	Schneeschaufeln is a Mordsgaudi.
QT000000176	D' Hendln auf da Welt hobn des dreifache Gwicht vo alle Wildvögel.
QT000000177	Beinahe jeder Dokta hod a Lieblingsdiagnos.
QT000000178	Vermisst da Tom Australien?
QT000000179	Da is zwar recht schee do, aba lebn dad i do ned woin.
QT000000180	Umadrahn!
QT000000181	Du bist a recht schlechter Lügner.
QT000000182	Do kimmst fei net hocka bleim.
QT000000183	Mia san no ned amoi an da Startlini zur Informationsgsellschaft.
QT000000184	Da Tom hod da Maria a ganze Reih Fragen gstellt.
QT000000185	I hob gmoant, du hättst aufghört.
QT000000186	Do is kalt.
QT000000187	Da Tom is a g'scheiterter Schauspieler.
QT000000188	Halts eam!
QT000000189	Da Tom vaasteckt si doch ned, oda?
QT000000190	I muaß jetz in d' Schui geh.
QT000000191	Da Tom is a Lautnspüia.
QT000000192	Wia lang braucht ma bis zum Flughafen?
